code,ident,latitude_deg,longitude_deg,time_zone
AFT,AGAF,-9.2,160.85,UTC+11
RNA,AGAR,-9.864444,161.98306,UTC+11
ATD,AGAT,-8.872891,161.0112714,UTC+11
VEV,AGBA,-7.85,159.55,UTC+11
BPF,AGBT,-8.55,158.11667,UTC+11
GEF,AGEV,-7.578333,156.59778,UTC+11
AKS,AGGA,-8.7042047,160.6817763,UTC+11
BNY,AGGB,-11.30254015,159.7991242561202,UTC+11
CHY,AGGC,-6.713787,156.39856,UTC+11
BAS,AGGE,-6.9911804,155.8855471,UTC+11
FRE,AGGF,-8.1,159.58333,UTC+11
HIR,AGGH,-9.42944175,160.04987604652325,UTC+11
MBU,AGGI,-9.733333,160.75,UTC+11
AVU,AGGJ,-9.833333,160.38333,UTC+11
IRA,AGGK,-10.5,161.83333,UTC+11
SCZ,AGGL,-11.616667,166.85,UTC+11
MUA,AGGM,-8.3272596,157.26105064765403,UTC+11
GZO,AGGN,-8.0999822,156.86506062321428,UTC+11
MNY,AGGO,-7.35,155.56667,UTC+11
PRS,AGGP,-8.166667,158,UTC+11
OTV,AGGQ,-5.513889,159.52278,UTC+11
RNL,AGGR,-11.666667,160.3,UTC+11
EGM,AGGS,-8.577956,157.87506,UTC+11
NNB,AGGT,-10.833333,162.5,UTC+11
RUS,AGGU,-8.5,161.25,UTC+11
VAO,AGGV,-7.566667,158.66667,UTC+11
XYA,AGGY,-9.0932316,159.2190933,UTC+11
KGE,AGKG,-8.165,157.5861,UTC+11
KUE,AGKU,-8.016667,156,UTC+11
KWS,AGKW,41.350193,-71.8069,UTC+11
NAZ,AGNA,-14.866667,-74.95,UTC+11
GTA,AGOK,-8.766667,158.18333,UTC+11
RIN,AGRC,-8.2,157.03334,UTC+11
RBV,AGRM,-8.1679082,157.6421833925485,UTC+11
VIU,AGVH,-8.5064514,157.6868504,UTC+11
CEX,AK13,65.05,-146.16667,UTC-8
SOL,AK26,64.56084,-164.44028,UTC-8
HED,AK33,55.833332,-160.83333,UTC-8
TWE,AK49,65.73333,-164.85,UTC-8
KTH,AK56,59.966667,-158.33333,UTC-8
NKI,AK62,55.36667,-133.21666,UTC-8
CDL,AK75,65.9092649,-161.9379772,UTC-8
AOS,AK81,57.4705133,-153.8166725,UTC-8
BSW,AK97,60.4223364,-146.1445823,UTC-8
TGE,AL73,32.466667,-85.683334,UTC-5
INU,ANYN,-0.54887245,166.92074283910955,UTC+12
AMF,AYAA,-4.166667,141.66667,UTC+10
UAE,AYAE,-6.23028875,144.66450798802197,UTC+10
AFR,AYAF,-9.13834475,148.39097141857889,UTC+10
AUP,AYAG,-9.983333,149.58333,UTC+10
ATP,AYAI,-3.166667,142.28334,UTC+10
AIH,AYAK,-7.34368705,141.2679197273077,UTC+10
AMU,AYAM,-3.516667,141.15,UTC+10
ADC,AYAN,-7.1371023,145.74531004892887,UTC+10
AIE,AYAO,-5.166667,144.66667,UTC+10
KPM,AYAQ,-5.38212715,143.9242469519006,UTC+10
AUJ,AYAT,-4.21583375,142.82335592047713,UTC+10
AWB,AYAW,-8.016667,142.75,UTC+10
AEK,AYAX,-7.366667,146.28334,UTC+10
AYU,AYAY,-6.3366412,145.90298982972382,UTC+10
VMU,AYBA,-7.4972747,144.82143109558854,UTC+10
BCP,AYBC,-5.85,146.48334,UTC+10
BNM,AYBD,-9.116667,147.61667,UTC+10
BMZ,AYBF,-7.8469898,143.24145398170833,UTC+10
BDZ,AYBG,-6.34697415,146.94186234928185,UTC+10
BSP,AYBH,-8.333333,141.08333,UTC+10
BWP,AYBI,-3.016667,141.15,UTC+10
BUA,AYBK,-5.4221082,154.6732872176393,UTC+10
BAA,AYBL,-5.33150125,151.00962156530997,UTC+10
OPU,AYBM,-8.05046335,142.9373403906789,UTC+10
BMH,AYBO,-6.416667,144.58333,UTC+10
