Abb,Meaning
APAPI,Abbreviated precision approach path indicator
AT-VASIS,Abbreviated T visual approach slope indicator system
ABM,Abeam
ABT,About
ABV,Above
AAL,Above aerodrome level
AGL,Above ground level
AMSL,Above mean sea level
MON,Above mountains
ASDA,Accelerate-stop distance available
ACPT,"Accept, accepted"
ACP,Acceptance(message type designator)
ACK,Acknowledge
ACT,"Active, activated, activity"
ATA,Actual time of arrival
ATD,Actual time of departure
ADDN,"Addition, additional"
ADJ,Adjacent
ABI,Advance boundary information
ADZ,Advise
AWTA,Advise at what time able
ADA,Advisory area
ADR,Advisory route
ADVS,Advisory service
AD,aerodrome
ABN,Aerodrome beacon
ADC,Aerodrome chart
SNOCLO ,Aerodrome closed due to snow (used in METAR/SPECI)
TWR,Aerodrome control tower or aerodrome control
AFIS,Aerodrome flight information service
TAF,Aerodrome forecast (in meteorological code)
AOC,Aerodrome obstacle chart
ADO,Aerodrome office
PRFG,Aerodrome partially covered by fog
ARP,Aerodrome reference point
METAR,Aerodrome routine meteorological report(in meteorological code)
SPECI,Aerodrome special meteorological report (in meteorological code)
AGA,"Aerodromes, air routes and ground aids"
ATZ,Aerodrome traffic zone
ANC,Aeronautical chart-1:500 000
AFS,Aeronautical fixed service
AFTN,Aeronautical fixed telecommunication network
AIC,Aeronautical information circular
AIP,Aeronautical information publication
AIRAC,Aeronautical information regulation and control
AIS,Aeronautical information services
MAP,Aeronautical maps and charts
AMSS,Aeronautical mobile satellite service
AMS,Aeronautical mobile service
ANCS,Aeronautical navigation chart-small scale
ATN,Aeronautical telecommunication network
AFT,"After (time, palce)"
APSG,After passing
AGN,Again
ACAS,Airborne collision avoidance system
ACFT,Aircraft
ACCID,"Aircraft accident, notification of"
AAIM,Aircraft autonomous integrity monitoring
ACN,Aircraft classification number
ACARS,Aircraft communication addressing and reporting system
AES,Aircraft earth station
APDC ,Aircraft parking/docking chart
ADIZ,Air defence identification zone
AP,Airport
AIREP,Air-report
ARP,Air-report(message type designator)
GAIN,Airspeed or headwind gain 
LOSS,Airspeed or headwind loss
A/A,Air-to-air
A/G,Air-to-ground
ATC,Air traffic control
ATCSMAC,Air traffic control surveillance minimum altitude chart
ATFM,Air traffic flow management
ATM,Air traffic management
ATS,Air traffic services
AIDC,Air traffic services interfacility data communications
ARO,Air traffic services reporting office
AWY,Airway
ALR,Alerting (message type designator)
ALRS,Alerting service
ALERFA,Alert phase
ALA,Alighting area
AUW,All up weight
ALTN,"Alternate, alternating(light alternates in colour)"
ALTN,Alternate(aerodrome)
ACL,Altimeter check location
QNH,Altimeter sub-scale setting to obtain elevation when on the ground
ASE,Altimetry system error
ALT,Altitude
AC,Altocumulus
AS,Altostratus
A,Amber
AMD,"Amend, amended(used to indicate amended meteorogical message; message type designator)"
AAA,Amended  meteorological message
AMDT,Amendment(AIP Amendment)
ANS,Answer
APCH,Approach
APP,"Approach control office, approach control, approach control service"
ALS,Approach lighting system
APV,"Approve, approved, approval"
APRX,"Approximate, approximately"
APR,April
APN,Apron
ARC,Area chart
ACC,"Area control centre, Area control"
GAMET,Area forecast for low-level flights
AMA,Area minimum altitude
RNAV,Area navigation
ARNG,Arrange
ARST,Arresting(specify part of aircraft arresting equipment)
ARR,"Arrive, arrival"
ARR,Arrival(message type designator)
ASC,"Ascend to, ascending to"
ASPH ,Asphalt
AAD,Assigned  altitude deviation
SAP,As soon as possible 
AT...,At(followed by time at which weather change is forecast to occur)
ATP,At..(time or place)
QFE,Atmospheric pressure at aerodrome elevation(or at runway threshold)
XS,Atmospherics
MAR,At sea
MRP,ATS/MET reporting point
ATTN,Attention
COT,At the coast
AUG,August
AUTH,"Authorized, authorization"
FISA,Automated flight information service
ADS-B,Automatic dependent surveillance-broadcast
ADS-C,Automatic dependent surveillance-contract
ADSU,Automatic dependent surveillance unit
ADF,Automatic direction-finding equipment
ARQ,Automatic error correction
ATIS,Automatic terminal information service
AUX,Auxiliary
AVBL,Available
AVG,Average
AVGAS,Aviation gasoline
METAR,Aerodrome meteorological report(in meteorological code)
SPECI,Aerodrome special meteorological report(in meteorological code)
AZM,Azimuth
BARO-VNAV,Barometric vertical navigation
BCN,Beacon (aeronautical ground light)
BRG,Bearing
BECMG,Becoming
BFR,Before
BLW...,Below...
BLO,Below clouds
BTN,Between
BTL,Between layers
BUFR,Binary universal form for the representation of meteorological data
BL...,"Blowing(followed by DU = dust, SA = sand or SN = snow)"
B,Blue
BOMB,Bombing
BDRY,Boundary
BRKG,Braking
BA,Braking action
BCST,Broadcast
BS,Commercial broadcasting station
BKN,Broken
BLDG,Building
VSA,By visual reference to the ground
CLBR,Calibration
CS,Call sign
CLG,Calling
CNL,Cancel or cancelled
CD,Candela
CAT,Category
CTN,Caution
C,"Celsius (Centigrade), Degrees "
CM,Centimetre
...C,Centre(preceded by runway designation number to identify a parallel runway)
CL,Centre line
CF,Change frequency to...
COP,Change-over point
CH,channel
CK,Check
CGL,Circling guidance light(s)
CC,Cirrocumulus
CS,Cirrostratus
CI,Cirrus
CIV,Civil
CAT,Clear air turbulence
CLR,Clear(s) or cleared to...or clearance
CLA,Clear type of ice formation 
CWY,Clearway
CLIMB-OUT,Climb-out area 
CMB,Climb to or climbing to
CTAM,Climb to and maintain 
CLSD,Close or closed or closing
CLD,Cloud 
BASE,Cloud base
TOP,Cloud top
CVR,Cockpit voice recorder
CRM,Collision risk model
CMPL,Completion or completed or complete
CIDIN,Common ICAO data interchange network
COM,Communications
CNS,"Communications, navigation and surveillance"
CONC,Concrete
COND,Condition
CFM,Confirm or I confirm (to be used in AFS as a procedure signal)
RF,Constant radius arc to a fix
CONST,Construction or constructed
CTC,Contact
CONT,Continue(s) or continued
CONS,Continuous
H24,Continuous day and night service
