Abb,Meaning
A,호박색
AAA,수정기상전문
A/A,공대공
AAD,배정고도 이탈
AAIM,항공기 자체 무결성 감시
AAL,비행장표점 기준 고도
ABI,사전경계정보?
ABM,정좌(우)현에
ABN,비행장 등대
ABT,대략
ABV,위에
AC,고적운
ACARS,공중/지상 데이터통신시스템
ACAS,공중충돌경고장치
ACC,지역관제소(항공교통센터)?
ACCID,항공기사고통보
ACFT,항공기
ACK,수신확인
ACL,고도계점검지점
ACN,항공기등급번호
ACP,접수(전문형식지정어)
ACPT,접수하다 또는 접수된
ACT,활성의 또는 활성
AD,비행장
ADA,조언구역
ADC,비행장 지도
ADDN,"추가, 추가의"
ADF,자동방향탐지기
ADIZ,방공식별구역
ADJ,인접한
ADO,비행장사무소
ADR,조언항공로
ADS,자동종속감시시설
ADS-B,자동종속감시시설-방송
ADS-C,자동종속감시시설-계약
ADSU,자동종속감시장치
ADVS,조언업무
ADZ,조언하다.
AES,항공기 지구국
AFIL,비행중에 제출된 비행계획서
AFIS,비행장 비행정보업무
AFM,"예, 긍정, 맞음, 정확함"
AFS,항공고정업무
AFT,"...이후(시간, 장소)"
AFTN,항공고정통신망
A/G,공대지
AGA,"비행장, 항공로 및 지상지원시설"
AGL,지상고도
AGN,"재차, 다시"
AIC,항공정보회람
AIDC,항공관제정보교환망
AIP,항공정보간행물
AIRAC,항공정보관리절차
AIREP,항공기보고
AIRMET,저고도 항공기 운항안전에 영향을 줄 수 있는 항공로 기상현상에 관한 정보
AIS,항공정보업무
ALA,착륙(착수)지역
ALERFA,경계단계
ALR,경계(전문형식지정어)
ALRS,경계업무
ALS,진입등시스템
ALT,고도
ALTN,"교차하다, 교차하는(교차등화는 색이 교대로 바뀜)"
ALTN,교체(공항(또는 비행장))
AMA,구역최저고도
AMD,"수정, 수정된(수정된 기상전문을 나타내기위해 사용됨); 전문형식지정어)"
AMDT,수정판(항공정보간행물 수정판)
AMS,항공이동업무
AMSL,해발고도
AMSS,항공이동위성통신시설
ANC,항공도-1:500 000
ANCS,항행도-소축척
ANS,응답
AOC,비행장장애물도
AP,공항
APAPI,간이식 진입각지시등
